principal_diagnostic,icd_code
"Lesion autoinfligida intencionalmente por vapor de agua, vapores y objetos calientes: otro lugar especificado",X778
"Lesion autoinfligida intencionalmente por vapor de agua, vapores y objetos calientes: lugar no especificado",X779
Lesión autoinfligida intencionalmente por objeto cortante,X78
Lesion autoinfligida intencionalmente por objeto cortante: vivienda,X780
Lesion autoinfligida intencionalmente por objeto cortante: institucion residencial,X781
"Lesion autoinfligida intencionalmente por objeto cortante: escuelas, otras instituciones y areas administrativas publicas",X782
Lesion autoinfligida intencionalmente por objeto cortante: areas de deporte y atletismo,X783
Lesion autoinfligida intencionalmente por objeto cortante: calles y carreteras,X784
Lesion autoinfligida intencionalmente por objeto cortante: comercio y areas de servicio,X785
Lesion autoinfligida intencionalmente por objeto cortante: area industrial y de la construccion,X786
Lesion autoinfligida intencionalmente por objeto cortante: granja,X787
Lesion autoinfligida intencionalmente por objeto cortante: otro lugar especificado,X788
Lesion autoinfligida intencionalmente por objeto cortante: lugar no especificado,X789
Lesión autoinfligida intencionalmente por objeto romo o sin filo,X79
Lesion autoinfligida intencionalmente por objeto romo o sin filo: vivienda,X790
Lesion autoinfligida intencionalmente por objeto romo o sin filo: institucion residencial,X791
"Lesion autoinfligida intencionalmente por objeto romo o sin filo: escuelas, otras instituciones y areas administrativas publicas",X792
Lesion autoinfligida intencionalmente por objeto romo o sin filo: areas de deporte y atletismo,X793
Lesion autoinfligida intencionalmente por objeto romo o sin filo: calles y carreteras,X794
Lesion autoinfligida intencionalmente por objeto romo o sin filo: comercio y areas de servicio,X795
Lesion autoinfligida intencionalmente por objeto romo o sin filo: area industrial y de la construccion,X796
Lesion autoinfligida intencionalmente por objeto romo o sin filo: granja,X797
Lesion autoinfligida intencionalmente por objeto romo o sin filo: otro lugar especificado,X798
Lesion autoinfligida intencionalmente por objeto romo o sin filo: lugar no especificado,X799
Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,X80
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: vivienda,X800
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: institucion residencial,X801
"Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: escuelas, otras instituciones y areas administrativas publicas",X802
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: areas de deporte y atletismo,X803
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: calles y carreteras,X804
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: comercio y areas de servicio,X805
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: area industrial y de la construccion,X806
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: granja,X807
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: otro lugar especificado,X808
Lesion autoinfligida intencionalmente al saltar desde un lugar elevado: lugar no especificado,X809
Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,X81
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: vivienda,X810
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: institucion residencial,X811
"Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: escuelas, otras instituciones y areas administrativas publicas",X812
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: areas de deporte y atletismo,X813
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: calles y carreteras,X814
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: comercio y areas de servicio,X815
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: area industrial y de la construccion,X816
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: granja,X817
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: otro lugar especificado,X818
Lesion autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento: lugar no especificado,X819
Lesión autoinfligida intencionalmente por colisión de vehículo de motor,X82
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: vivienda,X820
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: institucion residencial,X821
"Lesion autoinfligida intencionalmente por colision de vehiculo de motor: escuelas, otras instituciones y areas administrativas publicas",X822
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: areas de deporte y atletismo,X823
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: calles y carreteras,X824
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: comercio y areas de servicio,X825
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: area industrial y de la construccion,X826
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: granja,X827
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: otro lugar especificado,X828
Lesion autoinfligida intencionalmente por colision de vehiculo de motor: lugar no especificado,X829
Lesión autoinfligida intencionalmente por otros medios especificados,X83
Lesion autoinfligida intencionalmente por otros medios especificados: vivienda,X830
Lesion autoinfligida intencionalmente por otros medios especificados: institucion residencial,X831
"Lesion autoinfligida intencionalmente por otros medios especificados: escuelas, otras instituciones y areas administrativas publicas",X832
Lesion autoinfligida intencionalmente por otros medios especificados: areas de deporte y atletismo,X833
Lesion autoinfligida intencionalmente por otros medios especificados: calles y carreteras,X834
Lesion autoinfligida intencionalmente por otros medios especificados: comercio y areas de servicio,X835
Lesion autoinfligida intencionalmente por otros medios especificados: area industrial y de la construccion,X836
Lesion autoinfligida intencionalmente por otros medios especificados: granja,X837
Lesion autoinfligida intencionalmente por otros medios especificados: otro lugar especificado,X838
Lesion autoinfligida intencionalmente por otros medios especificados: lugar no especificado,X839
Lesión autoinfligida intencionalmente por medios no especificados,X84
Lesion autoinfligida intencionalmente por medios no especificados: vivienda,X840
Lesion autoinfligida intencionalmente por medios no especificados: institucion residencial,X841
"Lesion autoinfligida intencionalmente por medios no especificados: escuelas, otras instituciones y areas administrativas publicas",X842
Lesion autoinfligida intencionalmente por medios no especificados: areas de deporte y atletismo,X843
Lesion autoinfligida intencionalmente por medios no especificados: calles y carreteras,X844
Lesion autoinfligida intencionalmente por medios no especificados: comercio y areas de servicio,X845
Lesion autoinfligida intencionalmente por medios no especificados: area industrial y de la construccion,X846
Lesion autoinfligida intencionalmente por medios no especificados: granja,X847
Lesion autoinfligida intencionalmente por medios no especificados: otro lugar especificado,X848
Lesion autoinfligida intencionalmente por medios no especificados: lugar no especificado,X849
"Agresión con drogas, medicamentos y sustancias biológicas",X85
"Agresion con drogas, medicamentos y sustancias biologicas: vivienda",X850
"Agresion con drogas, medicamentos y sustancias biologicas: institucion residencial",X851
"Agresion con drogas, medicamentos y sustancias biologicas: escuelas, otras instituciones y areas administrativas publicas",X852
"Agresion con drogas, medicamentos y sustancias biologicas: areas de deporte y atletismo",X853
"Agresion con drogas, medicamentos y sustancias biologicas: calles y carreteras",X854
"Agresion con drogas, medicamentos y sustancias biologicas: comercio y areas de servicio",X855
"Agresion con drogas, medicamentos y sustancias biologicas: area industrial y de la construccion",X856
"Agresion con drogas, medicamentos y sustancias biologicas: granja",X857
"Agresion con drogas, medicamentos y sustancias biologicas: otro lugar especificado",X858
"Agresion con drogas, medicamentos y sustancias biologicas: lugar no especificado",X859
Agresión con sustancia corrosiva,X86
Agresion con sustancia corrosiva: vivienda,X860
Agresion con sustanciacorrosiva: institucion residencial,X861
"Agresion con sustancia corrosiva: escuelas, otras instituciones y areas administrativas publicas",X862
Agresion con sustanciacorrosiva: areas de deporte y atletismo,X863
Agresion con sustancia corrosiva: calles y carreteras,X864
Agresion con sustancia corrosiva: comercio y areas de servicio,X865
Agresion con sustancia corrosiva: area industrial y de la construccion,X866
Agresion con sustancia corrosiva: granja,X867
Agresion con sustanciacorrosiva: otro lugar especificado,X868
Agresion con sustancia corrosiva: lugar no especificado,X869
Agresión con plaguicidas,X87
Agresion con plaguicidas: vivienda,X870
Agresion con plaguicidas: institucion residencial,X871
"Agresion con plaguicidas: escuelas, otras instituciones y areas administrativas publicas",X872
Agresion con plaguicidas: areas de deporte y atletismo,X873
Agresion con plaguicidas: calles y carreteras,X874
Agresion con plaguicidas: comercio y areas de servicio,X875
Agresion con plaguicidas: area industrial y de la construccion,X876
Agresion con plaguicidas: granja,X877
Agresion con plaguicidas: otro lugar especificado,X878
Agresion con plaguicidas: lugar no especificado,X879
Agresión con gases y vapores,X88
Agresion con gases y vapores: vivienda,X880
Agresion con gases y vapores: institucion residencial,X881
"Agresion con gases y vapores: escuelas, otras instituciones y areas administrativas publicas",X882
Agresion con gases y vapores: areas de deporte y atletismo,X883
Agresion con gases y vapores: calles y carreteras,X884
Agresion con gases y vapores: comercio y areas de servicio,X885
Agresion con gases y vapores: area industrial y de la construccion,X886
Agresion con gases y vapores: granja,X887
Agresion con gases y vapores: otro lugar especificado,X888
Agresion con gases y vapores: lugar no especificado,X889
Agresión con otros productos químicos y sustancias nocivas especificadas,X89
Agresion con otros productos quimicos y sustancias nocivas especificadas: vivienda,X890
Agresion con otros productos quimicos y sustancias nocivas especificadas: institucion residencial,X891
"Agresion con otros productos quimicos y sustancias nocivas especificadas: escuelas, otras instituciones y areas administrativas publicas",X892
Agresion con otros productos quimicos y sustancias nocivas especificadas: areas de deporte y atletismo,X893
Agresion con otros productos quimicos y sustancias nocivas especificadas: calles y carreteras,X894
Agresion con otros productos quimicos y sustancias nocivas especificadas: comercio y areas de servicio,X895
Agresion con otros productos quimicos y sustancias nocivas especificadas: area industrial y de la construccion,X896
Agresion con otros productos quimicos y sustancias nocivas especificadas: granja,X897
Agresion con otros productos quimicos y sustancias nocivas especificadas: otro lugar especificado,X898
Agresion con otros productos quimicos y sustancias nocivas especificadas: lugar no especificado,X899
Agresión con productos químicos y sustancias nocivas no especificadas,X90
Agresion con productos quimicos y sustancias nocivas no especificadas: vivienda,X900
Agresion con productos quimicos y sustancias nocivas no especificadas: institucion residencial,X901
"Agresion con productos quimicos y sustancias nocivas no especificadas: escuelas, otras instituciones y areas administrativas publicas",X902
Agresion con productos quimicos y sustancias nocivas no especificadas: areas de deporte y atletismo,X903
Agresion con productos quimicos y sustancias nocivas no especificadas: calles y carreteras,X904
Agresion con productos quimicos y sustancias nocivas no especificadas: comercio y areas de servicio,X905
Agresion con productos quimicos y sustancias nocivas no especificadas: area industrial y de la construccion,X906
Agresion con productos quimicos y sustancias nocivas no especificadas: granja,X907
Agresion con productos quimicos y sustancias nocivas no especificadas: otro lugar especificado,X908
Agresion con productos quimicos y sustancias nocivas no especificadas: lugar no especificado,X909
"Agresión por ahorcamiento, estrangulamiento y sofocación",X91
"Agresion por ahorcamiento, estrangulamiento y sofocacion: vivienda",X910
"Agresion por ahorcamiento, estrangulamiento y sofocacion: institucion residencial",X911
"Agresion por ahorcamiento, estrangulamiento y sofocacion: escuelas, otras instituciones y areas administrativas publicas",X912
"Agresion por ahorcamiento, estrangulamiento y sofocacion: areas de deporte y atletismo",X913
"Agresion por ahorcamiento, estrangulamiento y sofocacion: calles y carreteras",X914
"Agresion por ahorcamiento, estrangulamiento y sofocacion: comercio y areas de servicio",X915
"Agresion por ahorcamiento, estrangulamiento y sofocacion: area industrial y de la construccion",X916
"Agresion por ahorcamiento, estrangulamiento y sofocacion: granja",X917
"Agresion por ahorcamiento, estrangulamiento y sofocacion: otro lugar especificado",X918
"Agresion por ahorcamiento, estrangulamiento y sofocacion: lugar no especificado",X919
Agresión por ahogamiento y sumersión,X92
Agresion por ahogamiento y sumersion: vivienda,X920
Agresion por ahogamiento y sumersion: institucion residencial,X921
"Agresion por ahogamiento y sumersion: escuelas, otras instituciones y areas administrativas publicas",X922
Agresion por ahogamiento y sumersion: areas de deporte y atletismo,X923
Agresion por ahogamiento y sumersion: calles y carreteras,X924
Agresion por ahogamiento y sumersion: comercio y areas de servicio,X925
Agresion por ahogamiento y sumersion: area industrial y de la construccion,X926
Agresion por ahogamiento y sumersion: granja,X927
Agresion por ahogamiento y sumersion: otro lugar especificado,X928
Agresion por ahogamiento y sumersion: lugar no especificado,X929
Agresión con disparo de arma corta,X93
Agresion con disparo de arma corta: vivienda,X930
Agresion con disparo de arma corta: institucion residencial,X931
"Agresion con disparo de arma corta: escuelas, otras instituciones y areas administrativas publicas",X932
Agresion con disparo de arma corta: areas de deporte y atletismo,X933
Agresion con disparo de arma corta: calles y carreteras,X934
Agresion con disparo de arma corta: comercio y areas de servicio,X935
Agresion con disparo de arma corta: area industrial y de la construccion,X936
Agresion con disparo de arma corta: granja,X937
Agresion con disparo de arma corta: otro lugar especificado,X938
Agresion con disparo de arma corta: lugar no especificado,X939
"Agresión con disparo de rifle, escopeta y arma larga",X94
"Agresion con disparo de rifle, escopeta y arma larga: vivienda",X940
"Agresion con disparo de rifle, escopeta y arma larga: institucion residencial",X941
"Agresion con disparo de rifle, escopeta y arma larga: escuelas, otras instituciones y areas administrativas publicas",X942
"Agresion con disparo de rifle, escopeta y arma larga: areas de deporte y atletismo",X943
"Agresion con disparo de rifle, escopeta y arma larga: calles y carreteras",X944
"Agresion con disparo de rifle, escopeta y arma larga: comercio y areas de servicio",X945
"Agresion con disparo de rifle, escopeta y arma larga: area industrial y de la construccion",X946
"Agresion con disparo de rifle, escopeta y arma larga: granja",X947
"Agresion con disparo de rifle, escopeta y arma larga: otro lugar especificado",X948
"Agresion con disparo de rifle, escopeta y arma larga: lugar no especificado",X949
"Agresión con disparo de otras armas de fuego, y las no especificadas",X95
"Agresion con disparo de otras armas de fuego, y las no especificadas: vivienda",X950
"Agresion con disparo de otras armas de fuego, y las no especificadas: institucion residencial",X951
"Agresion con disparo de otras armas de fuego, y las no especificadas: escuelas, otras instituciones y areas administrativas publicas",X952
"Agresion con disparo de otras armas de fuego, y las no especificadas: areas de deporte y atletismo",X953
"Agresion con disparo de otras armas de fuego, y las no especificadas: calles y carreteras",X954
"Agresion con disparo de otras armas de fuego, y las no especificadas: comercio y areas de servicio",X955
"Agresion con disparo de otras armas de fuego, y las no especificadas: area industrial y de la construccion",X956
"Agresion con disparo de otras armas de fuego, y las no especificadas: granja",X957
"Agresion con disparo de otras armas de fuego, y las no especificadas: otro lugar especificado",X958
"Agresion con disparo de otras armas de fuego, y las no especificadas: lugar no especificado",X959
Agresión con material explosivo,X96
Agresion con material explosivo: vivienda,X960
Agresion con material explosivo: institucion residencial,X961
"Agresion con material explosivo: escuelas, otras instituciones y areas administrativas publicas",X962
Agresion con material explosivo: areas de deporte y atletismo,X963
Agresion con material explosivo: calles y carreteras,X964
Agresion con material explosivo: comercio y areas de servicio,X965
Agresion con material explosivo: area industrial y de la construccion,X966
Agresion con material explosivo: granja,X967
Agresion con material explosivo: otro lugar especificado,X968
Agresion con material explosivo: lugar no especificado,X969
"Agresión con humo, fuego y llamas",X97
"Agresion con humo, fuego y llamas: vivienda",X970
"Agresion con humo, fuego y llamas: institucion residencial",X971
"Agresion con humo, fuego y llamas: escuelas, otras instituciones y areas administrativas publicas",X972
"Agresion con humo, fuego y llamas: areas de deporte y atletismo",X973
"Agresion con humo, fuego y llamas: calles y carreteras",X974
"Agresion con humo, fuego y llamas: comercio y areas de servicio",X975
"Agresion con humo, fuego y llamas: area industrial y de la construccion",X976
"Agresion con humo, fuego y llamas: granja",X977
"Agresion con humo, fuego y llamas: otro lugar especificado",X978
"Agresion con humo, fuego y llamas: lugar no especificado",X979
"Agresión con vapor de agua, vapores y objetos calientes",X98
"Agresion con vapor de agua, vapores y objetos calientes: vivienda",X980
"Agresion con vapor de agua, vapores y objetos calientes: institucion residencial",X981
"Agresion con vapor de agua, vapores y objetos calientes: escuelas, otras instituciones y areas administrativas publicas",X982
"Agresion con vapor de agua, vapores y objetos calientes: areas de deporte y atletismo",X983
"Agresion con vapor de agua, vapores y objetos calientes: calles y carreteras",X984
"Agresion con vapor de agua, vapores y objetos calientes: comercio y areas de servicio",X985
"Agresion con vapor de agua, vapores y objetos calientes: area industrial y de la construccion",X986
"Agresion con vapor de agua, vapores y objetos calientes: granja",X987
"Agresion con vapor de agua, vapores y objetos calientes: otro lugar especificado",X988
"Agresion con vapor de agua, vapores y objetos calientes: lugar no especificado",X989
Agresión con objeto cortante,X99
Agresion con objeto cortante: vivienda,X990
Agresion con objeto cortante: institucion residencial,X991
"Agresion con objeto cortante: escuelas, otras instituciones y areas administrativas publicas",X992
Agresion con objeto cortante: areas de deporte y atletismo,X993
Agresion con objeto cortante: calles y carreteras,X994
Agresion con objeto cortante: comercio y areas de servicio,X995
Agresion con objeto cortante: area industrial y de la construccion,X996
Agresion con objeto cortante: granja,X997
Agresion con objeto cortante: otro lugar especificado,X998
Agresion con objeto cortante: lugar no especificado,X999
Agresión con objeto romo o sin filo,Y00
Agresion con objeto romo o sin filo: vivienda,Y000
Agresion con objeto romo o sin filo: institucion residencial,Y001
Agresion con objeto romo o sin filo: escuelas otras instituciones y areas administrativas,Y002
Agresion con objeto romo o sin filo: areas de deporte y atletismo,Y003
Agresion con objeto romo o sin filo: calles y carreteras,Y004
Agresion con objeto romo o sin filo: comercio y area de servicios,Y005
Agresion con objeto romo o sin filo: area industrial y de la construccion,Y006
Agresion con objeto romo o sin filo: granja,Y007
Agresion con objeto romo o sin filo: otro lugar especificado,Y008
Agresion con objeto romo o sin filo: lugar no especificado,Y009
Agresión por empujón desde un lugar elevado,Y01
Agresion por empujon desde un lugar elevado: vivienda,Y010
Agresion por empujon desde un lugar elevado: institucion residencial,Y011
Agresion por empujon desde un lugar elevado: escuelas otras instituciones y areas administrativas,Y012
Agresion por empujon desde un lugar elevado: areas de deporte y atletismo,Y013
Agresion por empujon desde un lugar elevado: calles y carreteras,Y014
Agresion por empujon desde un lugar elevado: comercio y area de servicios,Y015
Agresion por empujon desde un lugar elevado: area industrial y de la construccion,Y016
Agresion por empujon desde un lugar elevado: granja,Y017
Agresion por empujon desde un lugar elevado: otro lugar especificado,Y018
Agresion por empujon desde un lugar elevado: lugar no especificado,Y019
Agresión por empujar o colocar a la víctima delante de objeto en movimiento,Y02
Agresion por empujar o colocar a la victima delante de objeto en movimiento: vivienda,Y020
Agresion por empujar o colocar a la victima delante de objeto en movimiento: institucion residencial,Y021
Agresion por empujar o colocar a la victima delante de objeto en movimiento: escuelas otras instituciones y areas administrativas,Y022
Agresion por empujar o colocar a la victima delante de objeto en movimiento: areas de deporte y atletismo,Y023
Agresion por empujar o colocar a la victima delante de objeto en movimiento: calles y carreteras,Y024
Agresion por empujar o colocar a la victima delante de objeto en movimiento: comercio y area de servicios,Y025
Agresion por empujar o colocar a la victima delante de objeto en movimiento: area industrial y de la construccion,Y026
Agresion por empujar o colocar a la victima delante de objeto en movimiento: granja,Y027
Agresion por empujar o colocar a la victima delante de objeto en movimiento: otro lugar especificado,Y028
Agresion por empujar o colocar a la victima delante de objeto en movimiento: lugar no especificado,Y029
Agresión por colisión de vehículo de motor,Y03
Agresion por colision de vehiculo de motor: vivienda,Y030
Agresion por colision de vehiculo de motor: institucion residencial,Y031
"Agresion por colision de vehiculo de motor: escuelas, otras instituciones y areas administrativas",Y032
Agresion por colision de vehiculo de motor: areas de deporte y atletismo,Y033
Agresion por colision de vehiculo de motor: calles y carreteras,Y034
Agresion por colision de vehiculo de motor: comercio y area de servicios,Y035
Agresion por colision de vehiculo de motor: area industrial y de la construccion,Y036
Agresion por colision de vehiculo de motor: granja,Y037
Agresion por colision de vehiculo de motor: otro lugar especificado,Y038
Agresion por colision de vehiculo de motor: lugar no especificado,Y039
Agresión con fuerza corporal,Y04
Agresion con fuerza corporal: vivienda,Y040
Agresion con fuerza corporal: institucion residencial,Y041
"Agresion con fuerza corporal: escuelas, otras instituciones y areas administrativas",Y042
Agresion con fuerza corporal: areas de deporte y atletismo,Y043
Agresion con fuerza corporal: calles y carreteras,Y044
Agresion con fuerza corporal: comercio y area de servicios,Y045
Agresion con fuerza corporal: area industrial y de la construccion,Y046
Agresion con fuerza corporal: granja,Y047
Agresion con fuerza corporal: otro lugar especificado,Y048
Agresion con fuerza corporal: lugar no especificado,Y049
Agresión sexual con fuerza corporal,Y05
Agresion sexual con fuerza corporal: vivienda,Y050
Agresion sexual con fuerza corporal: institucion residencial,Y051
"Agresion sexual con fuerza corporal: escuelas, otras instituciones y areas administrativas",Y052
Agresion sexual con fuerza corporal: areas de deporte y atletismo,Y053
Agresion sexual con fuerza corporal: calles y carreteras,Y054
Agresion sexual con fuerza corporal: comercio y area de servicios,Y055
Agresion sexual con fuerza corporal: area industrial y de la construccion,Y056
Agresion sexual con fuerza corporal: granja,Y057
Agresion sexual con fuerza corporal: otro lugar especificado,Y058
Agresion sexual con fuerza corporal: lugar no especificado,Y059
Negligencia y abandono,Y06
Por esposo o pareja,Y060
Por padre o madre,Y061
Por conocido o amigo,Y062
Por otra persona especificada,Y068
Por persona no especificada,Y069
Otros síndromes de maltrato,Y07
Por esposo o pareja,Y070
Por padre o madre,Y071
Por conocido o amigo,Y072
Por autoridades oficiales,Y073
Por otra persona especificada,Y078
Por persona no especificada,Y079
Agresión por otros medios especificados,Y08
Agresion por otros medios especificados: vivienda,Y080
Agresion por otros medios especificados: institucion residencial,Y081
"Agresion por otros medios especificados: escuelas, otras instituciones y areas administrativas",Y082
Agresion por otros medios especificados: areas de deporte y atletismo,Y083
Agresion por otros medios especificados: calles y carreteras,Y084
Agresion por otros medios especificados: comercio y area de servicios,Y085
Agresion por otros medios especificados: area industrial y de la construccion,Y086
Agresion por otros medios especificados: granja,Y087
Agresion por otros medios especificados: otro lugar especificado,Y088
Agresion por otros medios especificados: lugar no especificado,Y089
Agresión por medios no especificados,Y09
Agresion por medios no especificados: vivienda,Y090
Agresion por medios no especificados: institucion residencial,Y091
Agresion por medios no especificados: escuelas otras instituciones y areas administrativas,Y092
Agresion por medios no especificados: areas de deporte y atletismo,Y093
Agresion por medios no especificados: calles y carreteras,Y094
Agresion por medios no especificados: comercio y area de servicios,Y095
Agresion por medios no especificados: area industrial y de la construccion,Y096
Agresion por medios no especificados: granja,Y097
Agresion por medios no especificados: otro lugar especificado,Y098
Agresion por medios no especificados: lugar no especificado,Y099
"Envenenamiento por, y exposición a analgésicos no narcóticos, antipiréticos y antirreumáticos, de intención no determinada",Y10
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: vivienda",Y100
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: institucion residencial",Y101
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: escuelas otras instituciones y areas administrativas",Y102
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: areas de deporte y atletismo",Y103
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: calles y carreteras",Y104
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: comercio y area de servicios",Y105
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: area industrial y de la construccion",Y106
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: granja",Y107
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: otro lugar especificado",Y108
"Envenenamiento por, y exposicion a analgesicos no narcoticos, antipireticos y antirreumaticos, de intencion no determinada: lugar no especificado",Y109
"Envenenamiento por, y exposición a drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte, de intención no determinada",Y11
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: vivienda",Y110
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: institucion residencial",Y111
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: escuelas otras instituciones y areas administrativas",Y112
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: areas de deporte y atletismo",Y113
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: calles y carreteras",Y114
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: comercio y area de servicios",Y115
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: area industrial y de la construccion",Y116
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: granja",Y117
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: otro lugar especificado",Y118
"Envenenamiento por, y exposicion a drogas antiepilepticas, sedantes, hipnoticas, antiparkinsonianas y psicotropicas, no clasificadas en otra parte, de intencion no determinada: lugar no especificado",Y119
"Envenenamiento por, y exposición a narcóticos y psicodislépticos [alucinógenos], no clasificados en otra parte, de intención no determinada",Y12
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: vivienda",Y120
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: institucion residencial",Y121
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: escuelas otras instituciones y areas administrativas",Y122
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: areas de deporte y atletismo",Y123
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: calles y carreteras",Y124
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: comercio y area de servicios",Y125
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: area industrial y de la construccion",Y126
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: granja",Y127
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: otro lugar especificado",Y128
"Envenenamiento por, y exposicion a narcoticos y psicodislepticos [alucinogenos], no clasificadas en otra parte, de intencion no determinada: lugar no especificado",Y129
"Envenenamiento por, y exposición a otras drogas que actúan sobre el sistema nervioso autónomo, de intención no determinada",Y13
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: vivienda",Y130
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: institucion residencial",Y131
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: escuelas otras instituciones y areas administrativas",Y132
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: areas de deporte y atletismo",Y133
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: calles y carreteras",Y134
"Envenenamiento por, y exposicion a otras drogas que actuan sobre el sistema nervioso autonomo, de intencion no determinada: comercio y area de servicios",Y135
